u,v,X,Y,Xhat,Yhat,dX,dY,error_mm,timestamp
754.0,353.0,-20.0,220.0,-20.388147844541056,219.26646588923515,-0.3881478445410558,-0.7335341107648503,0.8298982111545049,2026-03-04T13:54:50
756.0,471.0,-70.0,220.0,-66.14407754935277,217.11964175600562,3.8559224506472276,-2.8803582439943796,4.8129618281419715,2026-03-04T13:55:13
754.0,588.0,-120.0,220.0,-110.68667828675159,216.40516344695732,9.313321713248413,-3.5948365530426827,9.983026153304225,2026-03-04T13:55:49
756.0,240.0,30.0,220.0,24.342238128289882,219.97301819639165,-5.657761871710118,-0.026981803608350674,5.657826209305368,2026-03-04T13:56:23
755.0,126.0,80.0,220.0,70.34205148438568,221.7824526353937,-9.657948515614322,1.782452635393696,9.82105426762722,2026-03-04T13:56:43
870.0,127.0,75.0,175.0,69.58256517956801,181.18923029080605,-5.417434820431993,6.1892302908060515,8.225276386010393,2026-03-04T13:57:33
871.0,242.0,25.0,175.0,23.979738095402038,179.79963580979512,-1.0202619045979624,4.79963580979512,4.906876629857482,2026-03-04T13:58:00
871.0,356.0,-25.0,175.0,-20.35498300687004,178.7857634840451,4.6450169931299605,3.7857634840451055,5.992344117588328,2026-03-04T13:58:11
871.0,473.0,-75.0,175.0,-64.98303914048181,177.76518300127833,10.016960859518193,2.7651830012783307,10.391618829214151,2026-03-04T13:58:27
870.0,591.0,-120.0,175.0,-109.14482605085975,177.08874789849983,10.855173949140251,2.0887478984998324,11.054305462107541,2026-03-04T13:58:38
636.0,586.0,-120.0,265.0,-112.71322969889962,257.7880785171312,7.2867703011003755,-7.2119214828687745,10.252259892143908,2026-03-04T14:00:05
638.0,470.0,-70.0,265.0,-67.7884331764915,258.9034457068148,2.2115668235085053,-6.096554293185193,6.485291208927961,2026-03-04T14:00:26
638.0,356.0,-20.0,265.0,-22.80425207350473,260.73621077064166,-2.804252073504731,-4.263789229358338,5.103305623235566,2026-03-04T14:00:49
640.0,237.0,25.0,265.0,25.12052852182003,261.9523475111034,0.12052852182003093,-3.047652488896574,3.0500348879397436,2026-03-04T14:01:04
640.0,123.0,75.0,265.0,71.95842389387255,263.8531971282856,-3.041576106127451,-1.1468028717143852,3.2505910287112076,2026-03-04T14:01:19
